Quartos,Área Construída,Banheiros,Vagas,Valor
3,183m²,3,4,R$ 980.000
3,116m²,2,3,R$ 750.057
4,169m²,3,4,R$ 849.000
4,265m²,4,4,R$ 1.890.189
4,269m²,4,5+,R$ 1.900.119
3,90m²,2,3,R$ 309.000
4,150m²,3,5+,R$ 613.015
4,400m²,4,5+,R$ 3.000.000
5+,339m²,4,5+,Direto com o proprietário
5+,400m²,4,5+,R$ 2.990.099
4,80m²,1,1,R$ 699.900
4,190m²,4,5+,R$ 865.005
3,93m²,4,3,R$ 387.900
4,144m²,2,4,R$ 699.900
3,110m²,2,3,R$ 489.000
3,90m²,2,3,R$ 309.000
3,90m²,2,3,R$ 309.000
4,126m²,2,3,R$ 502.000
3,140m²,2,3,R$ 535.000
3,159m²,3,4,R$ 875.042
3,90m²,2,3,R$ 309.000
3,93m²,2,2,R$ 299.000
4,215m²,4,5+,R$ 890.000
4,148m²,2,4,R$ 765.006
3,90m²,2,3,R$ 309.000
3,80m²,2,2,R$ 450.000
3,151m²,4,3,R$ 1.050.000
3,100m²,2,3,R$ 450.000
4,208m²,3,3,R$ 440.000
4,376m²,4,5+,R$ 2.900.000
4,289m²,4,5+,R$ 2.500.052
3,118m²,2,3,R$ 544.000
3,96m²,2,3,R$ 380.000
3,92m²,3,3,R$ 400.000
3,90m²,2,3,R$ 309.000
5+,330m²,4,5+,Direto com o proprietário
3,175m²,4,5+,R$ 800.000
4,170m²,3,4,R$ 1.050.999
3,88m²,2,2,R$ 380.000
5+,458m²,4,5+,R$ 4.500.450
3,118m²,2,3,R$ 544.000
4,200m²,4,5+,Direto com o proprietário
3,103m²,3,2,R$ 345.000
3,90m²,2,3,R$ 309.000
3,137m²,2,4,R$ 753.000
5+,505m²,5+,5+,R$ 6.300.000
4,220m²,3,1,R$ 1.199.000
5+,500m²,4,5+,R$ 8.500.000
4,150m²,3,5+,R$ 599.993
3,120m²,1,3,R$ 399.000
4,103m²,2,3,R$ 551.100
4,194m²,4,5+,R$ 1.200.000
3,140m²,2,3,R$ 660.078
5+,280m²,4,5+,R$ 2.450.045
4,142m²,4,4,R$ 560.060
3,93m²,2,2,R$ 289.289
5+,260m²,4,5+,R$ 1.700.069
4,272m²,4,4,R$ 1.800.000
3,118m²,2,3,R$ 544.000
3,90m²,2,3,R$ 309.000
3,75m²,5+,2,R$ 249.994
3,124m²,2,3,R$ 460.000
3,92m²,3,3,R$ 415.040
2,82m²,2,2,R$ 319.000
3,234m²,5+,5+,R$ 1.400.000
3,130m²,3,3,R$ 275.000
3,93m²,4,3,R$ 387.900
3,86m²,3,2,R$ 275.000
3,103m²,2,2,R$ 338.000
3,119m²,4,R$ 562.108,Profissional
3,138m²,2,3,R$ 630.000
4,285m²,4,5+,R$ 2.190.190
3,100m²,4,2,R$ 350.075
4,245m²,2,4,R$ 2.200.000
3,152m²,4,3,R$ 950.000
4,220m²,4,5+,R$ 1.400.000
4,290m²,4,5+,R$ 2.100.000
3,103m²,2,2,R$ 520.000
2,240m²,2,2,R$ 399.000
4,200m²,4,5+,R$ 1.150.000
2,71m²,5+,2,R$ 279.072
4,142m²,2,4,R$ 560.000
3,168m²,2,4,R$ 7.015.000
3,93m²,4,3,R$ 387.900
4,235m²,4,5+,R$ 1.750.051
4,256m²,3,4,R$ 1.980.000
5+,341m²,4,5+,R$ 3.350.000
4,270m²,4,5+,Direto com o proprietário
2,70m²,3,2,R$ 269.000
4,500m²,4,5+,R$ 3.000.000
3,250m²,4,4,R$ 1.800.000
3,100m²,2,3,R$ 519.000
4,256m²,3,4,R$ 1.980.000
3,100m²,2,3,R$ 450.054
3,111m²,3,R$ 499.000,Profissional
3,93m²,4,3,R$ 387.900
2,75m²,3,2,R$ 252.011
4,153m²,3,4,R$ 650.056
4,338m²,4,5+,R$ 1.990.019
3,150m²,4,3,R$ 1.100.000
5+,450m²,5+,5+,R$ 4.800.008
4,220m²,4,5+,R$ 1.450.000
4,249m²,4,4,R$ 1.650.013
3,124m²,2,3,R$ 460.064
3,99m²,2,2,R$ 338.000
2,70m²,2,2,R$ 330.159
3,103m²,3,3,R$ 385.053
3,122m²,2,3,R$ 395.395
3,91m²,2,2,R$ 309.000
3,119m²,2,3,R$ 540.000
5+,275m²,4,4,R$ 1.950.000
4,257m²,4,4,R$ 2.090.000
3,90m²,3,2,R$ 330.000
3,90m²,2,3,R$ 309.000
3,174m²,4,3,R$ 1.300.016
3,93m²,4,3,R$ 387.900
4,127m²,3,R$ 506.000,Profissional
4,188m²,4,5+,R$ 1.200.000
5+,380m²,4,1,R$ 3.400.000
5+,425m²,4,5+,R$ 3.950.000
3,140m²,2,3,R$ 480.000
4,240m²,4,5+,R$ 1.720.172
3,100m²,1,3,R$ 380.000
2,68m²,2,3,R$ 370.000
3,110m²,2,3,R$ 499.000
4,227m²,4,4,R$ 1.380.000
3,103m²,2,2,R$ 327.991
3,93m²,4,3,R$ 387.900
3,90m²,2,3,R$ 309.000
2,75m²,2,2,R$ 249.999
4,236m²,4,4,R$ 1.200.000
